"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 02","716","12","Republican","368"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 34","697","12","Republican","322"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 18","691","12","Republican","335"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 03","760","12","Republican","186"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 07","781","12","Republican","415"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 31","766","12","Republican","413"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 17","719","12","Republican","342"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 08","708","12","Republican","374"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 35","868","12","Republican","439"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 21","764","12","Republican","355"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 27","825","12","Republican","275"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 38 Precinct 02","737","12","Republican","391"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 45","768","12","Republican","335"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 37","833","12","Republican","400"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 43","806","12","Republican","375"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 38 Precinct 12","799","12","Republican","323"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 38 Precinct 07","792","12","Republican","87"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 04","690","12","Republican","366"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 10","720","12","Republican","401"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 38 Precinct 28","910","12","Republican","371"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 16","736","12","Republican","326"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 22","780","12","Republican","410"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 05","886","12","Republican","392"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 44","763","12","Republican","402"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 26","686","12","Republican","343"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 33","743","12","Republican","346"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 36","731","12","Republican","345"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 38 Precinct 24","808","12","Republican","1"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 42","737","12","Republican","335"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 46","742","12","Republican","387"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 40","804","12","Republican","408"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 15","902","12","Republican","449"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 01","712","12","Republican","331"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 25","930","12","Republican","212"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 13","892","12","Republican","414"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 38 Precinct 20","820","12","Republican","317"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 20","608","12","Republican","265"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 23","865","12","Republican","377"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 38 Precinct 17","926","12","Republican","47"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 11","852","12","Republican","396"
"105","16","CITY OF CHICAGO","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","Ward 41 Precinct 41","778","12","Republican","382"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000045","560","12","Republican","118"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","7800045","1050","12","Republican","254"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8400009","713","12","Republican","245"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000060","1622","12","Republican","626"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8200009","706","12","Republican","302"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","7800001","845","12","Republican","208"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8400013","942","12","Republican","305"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000028","672","12","Republican","131"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000049","934","12","Republican","323"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","7800027","310","12","Republican","69"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000082","870","12","Republican","310"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000085","500","12","Republican","221"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000027","582","12","Republican","261"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000088","600","12","Republican","286"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000091","1417","12","Republican","516"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000005","1553","12","Republican","159"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000066","576","12","Republican","193"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000057","956","12","Republican","173"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","7800038","473","12","Republican","156"
"16","0","COOK","810","MICHAEL P. McAULIFFE","1570","20TH REPRESENTATIVE","8000029","1379","12","Republican","606"
