"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 1 PRECINCT 3","0","12","REPUBLICAN","379"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 6 PRECINCT 1","0","12","REPUBLICAN","19"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 10 PRECINCT 7","0","12","REPUBLICAN","5"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 1 PRECINCT 2","0","12","REPUBLICAN","81"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 1 PRECINCT 5","0","12","REPUBLICAN","148"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 4 PRECINCT 8","0","12","REPUBLICAN","271"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 1 PRECINCT 6","0","12","REPUBLICAN","334"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 1 PRECINCT 4","0","12","REPUBLICAN","390"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 1 PRECINCT 7","0","12","REPUBLICAN","187"
"110","101","CITY OF ROCKFORD","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","WARD 1 PRECINCT 1","0","12","REPUBLICAN","313"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 11","1082","11","Democrat","254"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","CHERRY VALLEY 02","1359","11","Democrat","159"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 10","946","11","Democrat","216"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 01","1315","11","Democrat","318"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 08","1028","11","Democrat","210"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 01","808","11","Democrat","185"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 06","1078","11","Democrat","250"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 05","1031","11","Democrat","217"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 08","965","11","Democrat","264"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 12","679","11","Democrat","166"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 03","756","11","Democrat","203"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 14","686","11","Democrat","162"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKFORD 09","925","11","Democrat","107"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKFORD 32","1328","11","Democrat","1"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 13","767","11","Democrat","196"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 04","833","11","Democrat","221"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","CHERRY VALLEY 06","981","11","Democrat","144"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 12","926","11","Democrat","216"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","HARLEM 01","1132","11","Democrat","3"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKFORD 30","1124","11","Democrat","247"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","CHERRY VALLEY 11","872","11","Democrat","253"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 02","959","11","Democrat","192"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKFORD 08","919","11","Democrat","192"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 13","756","11","Democrat","177"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","CHERRY VALLEY 04","1417","11","Democrat","278"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKFORD 31","814","11","Democrat","163"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","SHIRLAND 1","730","11","Democrat","153"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","HARLEM 24","943","11","Democrat","251"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 07","886","11","Democrat","223"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKFORD 05","714","11","Democrat","192"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 05","780","11","Democrat","185"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKFORD 28","449","11","Democrat","89"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 15","950","11","Democrat","226"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKFORD 33","792","11","Democrat","192"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 11","736","11","Democrat","209"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROCKTON 02","802","11","Democrat","187"
"101","0","WINNEBAGO","1225","ANGELIQUE ""ANGIE"" BODINE","2060","69TH REPRESENTATIVE","ROSCOE 09","1142","11","Democrat","246"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","MANCHESTER","676","12","Republican","297"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 11","762","12","Republican","220"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","POPLAR GROVE 2","426","12","Republican","166"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","POPLAR GROVE 3","731","12","Republican","200"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 04","945","12","Republican","183"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 09","679","12","Republican","178"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BOONE 2","667","12","Republican","161"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 05","432","12","Republican","114"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 03","588","12","Republican","111"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 21","752","12","Republican","370"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","CALEDONIA  1","2353","12","Republican","895"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 17","1874","12","Republican","682"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BONUS 2","733","12","Republican","2"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","POPLAR GROVE 1","1886","12","Republican","516"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","FLORA  1","1257","12","Republican","308"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 18","736","12","Republican","353"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 14","498","12","Republican","112"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 12","1223","12","Republican","381"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","CALEDONIA  3","1098","12","Republican","334"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 08","901","12","Republican","159"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 02","545","12","Republican","128"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 20","761","12","Republican","416"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 16","1951","12","Republican","726"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 10","372","12","Republican","62"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 06","517","12","Republican","137"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","CALEDONIA  2","1368","12","Republican","375"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 07","602","12","Republican","143"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","FLORA  2","671","12","Republican","255"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 01","580","12","Republican","144"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 19","809","12","Republican","359"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BOONE 1","426","12","Republican","177"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","LE ROY","356","12","Republican","156"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 15","895","12","Republican","26"
"4","0","BOONE","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","BELVIDERE 22","862","12","Republican","355"
"101","0","WINNEBAGO","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","ROCKFORD 08","919","12","Republican","316"
"101","0","WINNEBAGO","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","ROCKFORD 31","814","12","Republican","283"
"101","0","WINNEBAGO","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","CHERRY VALLEY 01","1346","12","Republican","511"
"101","0","WINNEBAGO","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","ROSCOE 03","756","12","Republican","317"
"101","0","WINNEBAGO","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","HARLEM 24","943","12","Republican","418"
"101","0","WINNEBAGO","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","ROCKFORD 09","925","12","Republican","153"
"101","0","WINNEBAGO","1220","JOE SOSNOWSKI","2060","69TH REPRESENTATIVE","ROCKTON 09","719","12","Republican","212"
